experiment,rank,maxIters,lambda,nonNegativity,RMSE,trainingTime(sec)
0,10,10,0.17,False,0.8614,65
1,10,18,0.17,False,0.8623,143
2,12,18,0.17,False,0.8614,106
3,13,18,0.17,False,0.8613,145
4,14,18,0.17,False,0.8621,96
5,12,20,0.17,False,0.8620,74
6,12,20,0.18,False,0.8673,73
7,13,20,0.17,False,0.8621,81
8,13,18,0.17,False,0.8618,70
9,10,10,0.17,False,0.8574,44
10,50,15,0.1,True,0.8238,600
11,75,15,0.05,False,0.6737,877
12,60,15,0.2,True,0.8774,276
13,75,15,0.2,False,0.8762,520
14,75,10,0.1,False,0.8260,294
15,75,15,0.05,False,0.6736,863
16,50,15,0.05,False,0.7963,246
17,75,15,0.03,False,0.6246,890
18,75,15,0.04,False,0.7977,882
19,75,15,0.01,False,0.8835,391
20,75,15,0.04,False,0.7982,326
21,75,15,0.02,False,0.8330,420
22,75,15,0.035,False,0.8016,577
23,75,15,0.025,False,0.8183,443
24,75,15,0.03,True,0.6243,330
25,50,15,0.03,False,0.8075,239
26,100,15,0.03,False,0.6058,2100
27,150,15,0.03,False,0.5829,1263
28,150,15,0.05,False,0.6566,2000
29,30,10,0.001,False,0.9215,60
30,30,10,1,False,0.8240,109
31,30,10,0.01,False,0.8576,142
32,125,10,0.05,False,0.6685,1519
